DOF,Dev,AIC,BIC,Briar,AUC
1,1758,1760,1766.3,0.05886,0.64
2,1666.3,1670.3,1682.8,0.05674,0.71
3,1655.7,1661.7,1680.5,0.05656,0.71
4,1654.7,1662.7,1687.7,0.05654,0.71
5,1654.7,1664.7,1695.9,0.05654,0.71
6,1634.9,1646.9,1684.3,0.05636,0.74
1,1736.3,1738.3,1744.6,0.0583,0.62
2,1642.9,1646.9,1659.4,0.05615,0.71
2,1630.4,1634.4,1646.9,0.05544,0.69
3,1616.3,1622.3,1641,0.05517,0.71
4,1615.1,1623.1,1648,0.05512,0.71
5,1615.1,1625.1,1656.3,0.05512,0.71
6,1589.1,1601.1,1638.6,0.05476,0.74
2,1679.5,1683.5,1696,0.0573,0.71
3,1645.8,1651.8,1670.6,0.05644,0.72
4,1643,1651,1676,0.05637,0.73
5,1642.9,1652.9,1684.2,0.05636,0.73
6,1642.6,1654.6,1692,0.05636,0.73
7,1629.7,1643.7,1687.4,0.05625,0.74
3,1606,1612,1630.8,0.05504,0.73
4,1602,1610,1634.9,0.05493,0.73
5,1601.9,1611.9,1643.1,0.05493,0.73
6,1601.4,1613.4,1650.9,0.05492,0.73
7,1583.9,1597.9,1641.6,0.05465,0.74
8,1583.4,1599.4,1649.4,0.05463,0.74
9,1583.4,1601.4,1657.6,0.05463,0.74
10,1582.7,1602.7,1665.2,0.05462,0.74
11,1582.7,1604.7,1673.4,0.05462,0.74
12,1581.5,1605.5,1680.5,0.0546,0.74
13,1580.4,1606.4,1687.6,0.05459,0.74
7,1588.5,1602.5,1646.2,0.05474,0.74
8,1588.2,1604.2,1654.1,0.05473,0.74
9,1587.1,1605.1,1661.3,0.05471,0.74
10,1587,1607,1669.4,0.05472,0.74
11,1584.2,1606.2,1674.9,0.05468,0.74
12,1583.4,1607.4,1682.4,0.05468,0.74
1,1706.8,1708.8,1715,0.05814,0.69
6,1646.2,1658.2,1695.6,0.05693,0.73
